Algorithm,RUN,Epochs
Adaline,1,37
Adaline,2,37
Adaline,3,37
Adaline,4,37
Adaline,5,37
Adaline,6,37
Adaline,7,37
Adaline,8,37
Adaline,9,37
Adaline,10,37
Adaline,11,37
Adaline,12,37
Adaline,13,37
Adaline,14,37
Adaline,15,37
Adaline,16,37
Adaline,17,37
Adaline,18,37
Adaline,19,37
Adaline,20,37
Adaline,21,37
Adaline,22,37
Adaline,23,37
Adaline,24,37
Adaline,25,37
Adaline,26,37
Adaline,27,37
Adaline,28,37
Adaline,29,37
Adaline,30,37
Adaline,31,37
Adaline,32,37
Adaline,33,37
Adaline,34,37
Adaline,35,37
Adaline,36,37
Adaline,37,37
Adaline,38,37
Adaline,39,37
Adaline,40,37
Adaline,41,37
Adaline,42,37
Adaline,43,37
Adaline,44,37
Adaline,45,37
Adaline,46,37
Adaline,47,37
Adaline,48,37
Adaline,49,37
Adaline,50,37
Adaline,51,37
Adaline,52,37
Adaline,53,37
Adaline,54,37
Adaline,55,37
Adaline,56,37
Adaline,57,37
Adaline,58,37
Adaline,59,37
Adaline,60,37
Adaline,61,37
Adaline,62,37
Adaline,63,37
Adaline,64,37
Adaline,65,37
Adaline,66,37
Adaline,67,37
Adaline,68,37
Adaline,69,37
Adaline,70,37
Adaline,71,37
Adaline,72,37
Adaline,73,37
Adaline,74,37
Adaline,75,37
Adaline,76,37
Adaline,77,37
Adaline,78,37
Adaline,79,37
Adaline,80,37
Adaline,81,37
Adaline,82,37
Adaline,83,37
Adaline,84,37
Adaline,85,37
Adaline,86,37
Adaline,87,37
Adaline,88,37
Adaline,89,37
Adaline,90,37
Adaline,91,37
Adaline,92,37
Adaline,93,37
Adaline,94,37
Adaline,95,37
Adaline,96,37
Adaline,97,37
Adaline,98,37
Adaline,99,37
Adaline,100,37
Prosty perceptron - bipolar,1,2
Prosty perceptron - bipolar,2,2
Prosty perceptron - bipolar,3,3
Prosty perceptron - bipolar,4,3
Prosty perceptron - bipolar,5,3
Prosty perceptron - bipolar,6,3
Prosty perceptron - bipolar,7,3
Prosty perceptron - bipolar,8,3
Prosty perceptron - bipolar,9,2
Prosty perceptron - bipolar,10,2
Prosty perceptron - bipolar,11,3
Prosty perceptron - bipolar,12,3
Prosty perceptron - bipolar,13,3
Prosty perceptron - bipolar,14,3
Prosty perceptron - bipolar,15,2
Prosty perceptron - bipolar,16,3
Prosty perceptron - bipolar,17,3
Prosty perceptron - bipolar,18,3
Prosty perceptron - bipolar,19,3
Prosty perceptron - bipolar,20,3
Prosty perceptron - bipolar,21,3
Prosty perceptron - bipolar,22,2
Prosty perceptron - bipolar,23,3
Prosty perceptron - bipolar,24,3
Prosty perceptron - bipolar,25,3
Prosty perceptron - bipolar,26,3
Prosty perceptron - bipolar,27,3
