Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,10
-1.0,1.0,2,38
-1.0,1.0,3,35
-1.0,1.0,4,25
-1.0,1.0,5,12
-1.0,1.0,6,9
-1.0,1.0,7,32
-1.0,1.0,8,35
-1.0,1.0,9,11
-1.0,1.0,10,32
-1.0,1.0,11,16
-1.0,1.0,12,17
-1.0,1.0,13,11
-1.0,1.0,14,39
-1.0,1.0,15,34
-1.0,1.0,16,31
-1.0,1.0,17,15
-1.0,1.0,18,17
-1.0,1.0,19,7
-1.0,1.0,20,37
-1.0,1.0,21,17
-1.0,1.0,22,21
-1.0,1.0,23,30
-1.0,1.0,24,28
-1.0,1.0,25,29
-1.0,1.0,26,36
-1.0,1.0,27,27
-1.0,1.0,28,34
-1.0,1.0,29,28
-1.0,1.0,30,1
-1.0,1.0,31,30
-1.0,1.0,32,10
-1.0,1.0,33,34
-1.0,1.0,34,4
-1.0,1.0,35,14
-1.0,1.0,36,38
-1.0,1.0,37,31
-1.0,1.0,38,24
-1.0,1.0,39,25
-1.0,1.0,40,2
-1.0,1.0,41,10
-1.0,1.0,42,15
-1.0,1.0,43,28
-1.0,1.0,44,23
-1.0,1.0,45,1
-1.0,1.0,46,43
-1.0,1.0,47,9
-1.0,1.0,48,22
-1.0,1.0,49,12
-1.0,1.0,50,37
-1.0,1.0,51,15
-1.0,1.0,52,23
-1.0,1.0,53,12
-1.0,1.0,54,47
-1.0,1.0,55,18
-1.0,1.0,56,33
-1.0,1.0,57,14
-1.0,1.0,58,33
-1.0,1.0,59,13
-1.0,1.0,60,29
-1.0,1.0,61,42
-1.0,1.0,62,34
-1.0,1.0,63,9
-1.0,1.0,64,8
-1.0,1.0,65,30
-1.0,1.0,66,16
-1.0,1.0,67,36
-1.0,1.0,68,25
-1.0,1.0,69,14
-1.0,1.0,70,9
-1.0,1.0,71,29
-1.0,1.0,72,37
-1.0,1.0,73,38
-1.0,1.0,74,22
-1.0,1.0,75,37
-1.0,1.0,76,47
-1.0,1.0,77,23
-1.0,1.0,78,20
-1.0,1.0,79,24
-1.0,1.0,80,16
-1.0,1.0,81,20
-1.0,1.0,82,7
-1.0,1.0,83,37
-1.0,1.0,84,33
-1.0,1.0,85,4
-1.0,1.0,86,31
-1.0,1.0,87,11
-1.0,1.0,88,1
-1.0,1.0,89,20
-1.0,1.0,90,33
-1.0,1.0,91,23
-1.0,1.0,92,33
-1.0,1.0,93,23
-1.0,1.0,94,24
-1.0,1.0,95,13
-1.0,1.0,96,32
-1.0,1.0,97,3
-1.0,1.0,98,14
-1.0,1.0,99,35
-1.0,1.0,100,15
-0.8,0.8,1,9
-0.8,0.8,2,7
-0.8,0.8,3,13
-0.8,0.8,4,6
-0.8,0.8,5,8
-0.8,0.8,6,18
-0.8,0.8,7,28
-0.8,0.8,8,23
-0.8,0.8,9,37
-0.8,0.8,10,30
-0.8,0.8,11,23
-0.8,0.8,12,23
-0.8,0.8,13,18
-0.8,0.8,14,5
-0.8,0.8,15,6
-0.8,0.8,16,10
-0.8,0.8,17,16
-0.8,0.8,18,7
-0.8,0.8,19,30
-0.8,0.8,20,7
-0.8,0.8,21,18
-0.8,0.8,22,21
-0.8,0.8,23,1
-0.8,0.8,24,28
-0.8,0.8,25,7
-0.8,0.8,26,38
-0.8,0.8,27,18
-0.8,0.8,28,2
-0.8,0.8,29,4
-0.8,0.8,30,13
-0.8,0.8,31,4
-0.8,0.8,32,1
-0.8,0.8,33,15
-0.8,0.8,34,7
-0.8,0.8,35,15
-0.8,0.8,36,17
-0.8,0.8,37,8
-0.8,0.8,38,10
-0.8,0.8,39,20
-0.8,0.8,40,13
-0.8,0.8,41,6
-0.8,0.8,42,17
-0.8,0.8,43,19
-0.8,0.8,44,1
-0.8,0.8,45,2
-0.8,0.8,46,2
-0.8,0.8,47,9
-0.8,0.8,48,26
-0.8,0.8,49,24
-0.8,0.8,50,30
-0.8,0.8,51,5
-0.8,0.8,52,3
-0.8,0.8,53,21
-0.8,0.8,54,21
-0.8,0.8,55,12
-0.8,0.8,56,7
-0.8,0.8,57,27
-0.8,0.8,58,21
-0.8,0.8,59,20
-0.8,0.8,60,20
-0.8,0.8,61,9
-0.8,0.8,62,28
-0.8,0.8,63,10
-0.8,0.8,64,22
-0.8,0.8,65,5
-0.8,0.8,66,23
-0.8,0.8,67,18
-0.8,0.8,68,29
-0.8,0.8,69,17
-0.8,0.8,70,3
-0.8,0.8,71,9
-0.8,0.8,72,4
-0.8,0.8,73,25
-0.8,0.8,74,1
-0.8,0.8,75,29
-0.8,0.8,76,1
-0.8,0.8,77,23
-0.8,0.8,78,10
-0.8,0.8,79,7
-0.8,0.8,80,11
-0.8,0.8,81,25
-0.8,0.8,82,6
-0.8,0.8,83,10
-0.8,0.8,84,11
-0.8,0.8,85,23
-0.8,0.8,86,29
-0.8,0.8,87,22
-0.8,0.8,88,29
-0.8,0.8,89,4
-0.8,0.8,90,21
-0.8,0.8,91,9
-0.8,0.8,92,29
-0.8,0.8,93,23
-0.8,0.8,94,4
-0.8,0.8,95,27
-0.8,0.8,96,20
-0.8,0.8,97,28
-0.8,0.8,98,3
-0.8,0.8,99,10
-0.8,0.8,100,8
-0.6,0.6,1,3
-0.6,0.6,2,22
-0.6,0.6,3,7
-0.6,0.6,4,20
-0.6,0.6,5,20
-0.6,0.6,6,19
-0.6,0.6,7,1
-0.6,0.6,8,9
-0.6,0.6,9,7
-0.6,0.6,10,1
-0.6,0.6,11,25
-0.6,0.6,12,28
-0.6,0.6,13,18
-0.6,0.6,14,23
-0.6,0.6,15,7
-0.6,0.6,16,12
-0.6,0.6,17,11
-0.6,0.6,18,7
-0.6,0.6,19,22
-0.6,0.6,20,19
-0.6,0.6,21,24
-0.6,0.6,22,24
-0.6,0.6,23,3
-0.6,0.6,24,1
-0.6,0.6,25,24
-0.6,0.6,26,17
-0.6,0.6,27,4
-0.6,0.6,28,1
-0.6,0.6,29,8
-0.6,0.6,30,21
-0.6,0.6,31,19
-0.6,0.6,32,22
-0.6,0.6,33,12
-0.6,0.6,34,15
-0.6,0.6,35,13
-0.6,0.6,36,9
-0.6,0.6,37,11
-0.6,0.6,38,22
-0.6,0.6,39,1
-0.6,0.6,40,23
-0.6,0.6,41,11
-0.6,0.6,42,5
-0.6,0.6,43,8
-0.6,0.6,44,24
-0.6,0.6,45,12
-0.6,0.6,46,1
-0.6,0.6,47,16
-0.6,0.6,48,9
-0.6,0.6,49,2
-0.6,0.6,50,15
-0.6,0.6,51,24
-0.6,0.6,52,20
-0.6,0.6,53,9
-0.6,0.6,54,16
-0.6,0.6,55,14
-0.6,0.6,56,11
-0.6,0.6,57,24
-0.6,0.6,58,7
-0.6,0.6,59,16
-0.6,0.6,60,5
-0.6,0.6,61,2
-0.6,0.6,62,4
-0.6,0.6,63,23
-0.6,0.6,64,27
-0.6,0.6,65,13
-0.6,0.6,66,19
-0.6,0.6,67,4
-0.6,0.6,68,1
-0.6,0.6,69,7
-0.6,0.6,70,23
-0.6,0.6,71,5
-0.6,0.6,72,11
-0.6,0.6,73,27
-0.6,0.6,74,11
-0.6,0.6,75,17
-0.6,0.6,76,13
-0.6,0.6,77,5
-0.6,0.6,78,21
-0.6,0.6,79,6
-0.6,0.6,80,19
-0.6,0.6,81,23
-0.6,0.6,82,23
-0.6,0.6,83,3
-0.6,0.6,84,6
-0.6,0.6,85,24
-0.6,0.6,86,3
-0.6,0.6,87,1
-0.6,0.6,88,5
-0.6,0.6,89,13
-0.6,0.6,90,9
-0.6,0.6,91,16
-0.6,0.6,92,13
-0.6,0.6,93,6
-0.6,0.6,94,10
-0.6,0.6,95,16
-0.6,0.6,96,10
-0.6,0.6,97,16
-0.6,0.6,98,22
-0.6,0.6,99,19
-0.6,0.6,100,27
-0.4,0.4,1,4
-0.4,0.4,2,19
-0.4,0.4,3,12
-0.4,0.4,4,6
-0.4,0.4,5,8
-0.4,0.4,6,5
-0.4,0.4,7,7
-0.4,0.4,8,14
-0.4,0.4,9,18
-0.4,0.4,10,12
-0.4,0.4,11,11
-0.4,0.4,12,12
-0.4,0.4,13,10
-0.4,0.4,14,5
-0.4,0.4,15,7
-0.4,0.4,16,9
-0.4,0.4,17,5
-0.4,0.4,18,15
-0.4,0.4,19,12
-0.4,0.4,20,14
-0.4,0.4,21,16
-0.4,0.4,22,11
-0.4,0.4,23,15
-0.4,0.4,24,19
-0.4,0.4,25,13
-0.4,0.4,26,17
-0.4,0.4,27,15
-0.4,0.4,28,13
-0.4,0.4,29,15
-0.4,0.4,30,10
-0.4,0.4,31,6
-0.4,0.4,32,14
-0.4,0.4,33,10
-0.4,0.4,34,11
-0.4,0.4,35,16
-0.4,0.4,36,4
-0.4,0.4,37,8
-0.4,0.4,38,1
-0.4,0.4,39,19
-0.4,0.4,40,1
-0.4,0.4,41,7
-0.4,0.4,42,3
-0.4,0.4,43,8
-0.4,0.4,44,5
-0.4,0.4,45,9
-0.4,0.4,46,17
-0.4,0.4,47,11
-0.4,0.4,48,19
-0.4,0.4,49,7
-0.4,0.4,50,12
-0.4,0.4,51,17
-0.4,0.4,52,11
-0.4,0.4,53,11
-0.4,0.4,54,6
-0.4,0.4,55,10
-0.4,0.4,56,14
-0.4,0.4,57,11
-0.4,0.4,58,5
-0.4,0.4,59,7
-0.4,0.4,60,13
-0.4,0.4,61,5
-0.4,0.4,62,5
-0.4,0.4,63,10
-0.4,0.4,64,16
-0.4,0.4,65,3
-0.4,0.4,66,14
-0.4,0.4,67,10
-0.4,0.4,68,7
-0.4,0.4,69,2
-0.4,0.4,70,17
-0.4,0.4,71,15
-0.4,0.4,72,9
-0.4,0.4,73,17
-0.4,0.4,74,6
-0.4,0.4,75,9
-0.4,0.4,76,15
-0.4,0.4,77,1
-0.4,0.4,78,5
-0.4,0.4,79,8
-0.4,0.4,80,11
-0.4,0.4,81,12
-0.4,0.4,82,18
-0.4,0.4,83,21
-0.4,0.4,84,6
-0.4,0.4,85,6
-0.4,0.4,86,3
-0.4,0.4,87,7
-0.4,0.4,88,12
-0.4,0.4,89,17
-0.4,0.4,90,14
-0.4,0.4,91,6
-0.4,0.4,92,9
-0.4,0.4,93,10
-0.4,0.4,94,3
-0.4,0.4,95,9
-0.4,0.4,96,13
-0.4,0.4,97,9
-0.4,0.4,98,9
-0.4,0.4,99,12
-0.4,0.4,100,5
-0.2,0.2,1,9
-0.2,0.2,2,7
-0.2,0.2,3,7
-0.2,0.2,4,11
-0.2,0.2,5,10
-0.2,0.2,6,14
-0.2,0.2,7,8
-0.2,0.2,8,10
-0.2,0.2,9,13
-0.2,0.2,10,7
-0.2,0.2,11,10
-0.2,0.2,12,10
-0.2,0.2,13,11
-0.2,0.2,14,14
-0.2,0.2,15,8
-0.2,0.2,16,8
-0.2,0.2,17,14
-0.2,0.2,18,7
-0.2,0.2,19,12
-0.2,0.2,20,10
-0.2,0.2,21,13
-0.2,0.2,22,9
-0.2,0.2,23,8
-0.2,0.2,24,11
-0.2,0.2,25,11
-0.2,0.2,26,6
-0.2,0.2,27,11
-0.2,0.2,28,7
-0.2,0.2,29,6
-0.2,0.2,30,11
-0.2,0.2,31,10
-0.2,0.2,32,10
-0.2,0.2,33,6
-0.2,0.2,34,6
-0.2,0.2,35,9
-0.2,0.2,36,15
-0.2,0.2,37,13
-0.2,0.2,38,12
-0.2,0.2,39,14
-0.2,0.2,40,7
-0.2,0.2,41,13
-0.2,0.2,42,9
-0.2,0.2,43,8
-0.2,0.2,44,13
-0.2,0.2,45,10
-0.2,0.2,46,12
-0.2,0.2,47,11
-0.2,0.2,48,8
-0.2,0.2,49,8
-0.2,0.2,50,8
-0.2,0.2,51,9
-0.2,0.2,52,10
-0.2,0.2,53,10
-0.2,0.2,54,9
-0.2,0.2,55,13
-0.2,0.2,56,11
-0.2,0.2,57,6
-0.2,0.2,58,8
-0.2,0.2,59,7
-0.2,0.2,60,10
-0.2,0.2,61,13
-0.2,0.2,62,11
-0.2,0.2,63,10
-0.2,0.2,64,7
-0.2,0.2,65,12
-0.2,0.2,66,13
-0.2,0.2,67,14
-0.2,0.2,68,7
-0.2,0.2,69,11
-0.2,0.2,70,8
-0.2,0.2,71,15
-0.2,0.2,72,9
-0.2,0.2,73,10
-0.2,0.2,74,13
-0.2,0.2,75,14
-0.2,0.2,76,10
-0.2,0.2,77,15
-0.2,0.2,78,16
-0.2,0.2,79,9
-0.2,0.2,80,11
-0.2,0.2,81,4
-0.2,0.2,82,6
-0.2,0.2,83,16
-0.2,0.2,84,11
-0.2,0.2,85,7
-0.2,0.2,86,7
-0.2,0.2,87,8
-0.2,0.2,88,13
-0.2,0.2,89,11
-0.2,0.2,90,11
-0.2,0.2,91,15
-0.2,0.2,92,9
-0.2,0.2,93,10
-0.2,0.2,94,12
-0.2,0.2,95,4
-0.2,0.2,96,9
-0.2,0.2,97,11
-0.2,0.2,98,6
-0.2,0.2,99,10
-0.2,0.2,100,9
-0.05,0.05,1,9
-0.05,0.05,2,9
-0.05,0.05,3,10
-0.05,0.05,4,11
-0.05,0.05,5,10
-0.05,0.05,6,10
-0.05,0.05,7,9
-0.05,0.05,8,11
-0.05,0.05,9,11
-0.05,0.05,10,10
-0.05,0.05,11,10
-0.05,0.05,12,9
-0.05,0.05,13,11
-0.05,0.05,14,9
-0.05,0.05,15,9
-0.05,0.05,16,11
-0.05,0.05,17,11
-0.05,0.05,18,10
-0.05,0.05,19,11
-0.05,0.05,20,9
-0.05,0.05,21,11
-0.05,0.05,22,10
-0.05,0.05,23,9
-0.05,0.05,24,9
-0.05,0.05,25,9
-0.05,0.05,26,10
-0.05,0.05,27,10
-0.05,0.05,28,9
-0.05,0.05,29,9
-0.05,0.05,30,10
-0.05,0.05,31,10
-0.05,0.05,32,10
-0.05,0.05,33,10
-0.05,0.05,34,11
-0.05,0.05,35,9
-0.05,0.05,36,10
-0.05,0.05,37,10
-0.05,0.05,38,9
-0.05,0.05,39,10
-0.05,0.05,40,9
-0.05,0.05,41,10
-0.05,0.05,42,10
-0.05,0.05,43,10
-0.05,0.05,44,11
-0.05,0.05,45,10
-0.05,0.05,46,9
-0.05,0.05,47,10
-0.05,0.05,48,9
-0.05,0.05,49,10
-0.05,0.05,50,9
-0.05,0.05,51,10
-0.05,0.05,52,11
-0.05,0.05,53,9
-0.05,0.05,54,9
-0.05,0.05,55,9
-0.05,0.05,56,11
-0.05,0.05,57,10
-0.05,0.05,58,10
-0.05,0.05,59,11
-0.05,0.05,60,10
-0.05,0.05,61,11
-0.05,0.05,62,9
-0.05,0.05,63,9
-0.05,0.05,64,10
-0.05,0.05,65,10
-0.05,0.05,66,10
-0.05,0.05,67,10
-0.05,0.05,68,10
-0.05,0.05,69,9
-0.05,0.05,70,9
-0.05,0.05,71,11
-0.05,0.05,72,10
-0.05,0.05,73,10
-0.05,0.05,74,9
-0.05,0.05,75,10
-0.05,0.05,76,9
