Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,22
-1.0,1.0,2,30
-1.0,1.0,3,30
-1.0,1.0,4,18
-1.0,1.0,5,25
-1.0,1.0,6,20
-1.0,1.0,7,21
-1.0,1.0,8,18
-1.0,1.0,9,21
-1.0,1.0,10,4
-1.0,1.0,11,21
-1.0,1.0,12,6
-1.0,1.0,13,30
-1.0,1.0,14,25
-1.0,1.0,15,9
-1.0,1.0,16,16
-1.0,1.0,17,16
-1.0,1.0,18,8
-1.0,1.0,19,18
-1.0,1.0,20,26
-1.0,1.0,21,20
-1.0,1.0,22,21
-1.0,1.0,23,17
-1.0,1.0,24,20
-1.0,1.0,25,10
-1.0,1.0,26,28
-1.0,1.0,27,3
-1.0,1.0,28,4
-1.0,1.0,29,29
-1.0,1.0,30,8
-1.0,1.0,31,10
-1.0,1.0,32,6
-1.0,1.0,33,18
-1.0,1.0,34,10
-1.0,1.0,35,4
-1.0,1.0,36,14
-1.0,1.0,37,28
-1.0,1.0,38,23
-1.0,1.0,39,21
-1.0,1.0,40,22
-1.0,1.0,41,25
-1.0,1.0,42,20
-1.0,1.0,43,15
-1.0,1.0,44,8
-1.0,1.0,45,4
-1.0,1.0,46,14
-1.0,1.0,47,16
-1.0,1.0,48,12
-1.0,1.0,49,24
-1.0,1.0,50,12
-1.0,1.0,51,16
-1.0,1.0,52,21
-1.0,1.0,53,5
-1.0,1.0,54,26
-1.0,1.0,55,5
-1.0,1.0,56,21
-1.0,1.0,57,14
-1.0,1.0,58,6
-1.0,1.0,59,8
-1.0,1.0,60,19
-1.0,1.0,61,4
-1.0,1.0,62,3
-1.0,1.0,63,15
-1.0,1.0,64,12
-1.0,1.0,65,19
-1.0,1.0,66,21
-1.0,1.0,67,14
-1.0,1.0,68,6
-1.0,1.0,69,23
-1.0,1.0,70,15
-1.0,1.0,71,4
-1.0,1.0,72,18
-1.0,1.0,73,17
-1.0,1.0,74,9
-1.0,1.0,75,7
-1.0,1.0,76,9
-1.0,1.0,77,14
-1.0,1.0,78,27
-1.0,1.0,79,26
-1.0,1.0,80,18
-1.0,1.0,81,4
-1.0,1.0,82,7
-1.0,1.0,83,23
-1.0,1.0,84,24
-1.0,1.0,85,18
-1.0,1.0,86,4
-1.0,1.0,87,27
-1.0,1.0,88,22
-1.0,1.0,89,19
-1.0,1.0,90,17
-1.0,1.0,91,14
-1.0,1.0,92,28
-1.0,1.0,93,15
-1.0,1.0,94,21
-1.0,1.0,95,9
-1.0,1.0,96,20
-1.0,1.0,97,21
-1.0,1.0,98,22
-1.0,1.0,99,15
-1.0,1.0,100,9
-0.8,0.8,1,4
-0.8,0.8,2,3
-0.8,0.8,3,21
-0.8,0.8,4,7
-0.8,0.8,5,20
-0.8,0.8,6,3
-0.8,0.8,7,23
-0.8,0.8,8,16
-0.8,0.8,9,12
-0.8,0.8,10,4
-0.8,0.8,11,24
-0.8,0.8,12,9
-0.8,0.8,13,7
-0.8,0.8,14,10
-0.8,0.8,15,21
-0.8,0.8,16,25
-0.8,0.8,17,19
-0.8,0.8,18,25
-0.8,0.8,19,4
-0.8,0.8,20,18
-0.8,0.8,21,14
-0.8,0.8,22,17
-0.8,0.8,23,23
-0.8,0.8,24,12
-0.8,0.8,25,23
-0.8,0.8,26,17
-0.8,0.8,27,26
-0.8,0.8,28,7
-0.8,0.8,29,14
-0.8,0.8,30,13
-0.8,0.8,31,4
-0.8,0.8,32,21
-0.8,0.8,33,11
-0.8,0.8,34,23
-0.8,0.8,35,23
-0.8,0.8,36,21
-0.8,0.8,37,3
-0.8,0.8,38,15
-0.8,0.8,39,12
-0.8,0.8,40,6
-0.8,0.8,41,27
-0.8,0.8,42,29
-0.8,0.8,43,23
-0.8,0.8,44,21
-0.8,0.8,45,13
-0.8,0.8,46,16
-0.8,0.8,47,15
-0.8,0.8,48,13
-0.8,0.8,49,20
-0.8,0.8,50,19
-0.8,0.8,51,22
-0.8,0.8,52,23
-0.8,0.8,53,4
-0.8,0.8,54,3
-0.8,0.8,55,26
-0.8,0.8,56,19
-0.8,0.8,57,4
-0.8,0.8,58,3
-0.8,0.8,59,13
-0.8,0.8,60,24
-0.8,0.8,61,19
-0.8,0.8,62,25
-0.8,0.8,63,15
-0.8,0.8,64,16
-0.8,0.8,65,18
-0.8,0.8,66,14
-0.8,0.8,67,16
-0.8,0.8,68,20
-0.8,0.8,69,4
-0.8,0.8,70,23
-0.8,0.8,71,15
