Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,7
-1.0,1.0,2,24
-1.0,1.0,3,22
-1.0,1.0,4,16
-1.0,1.0,5,8
-1.0,1.0,6,7
-1.0,1.0,7,21
-1.0,1.0,8,23
-1.0,1.0,9,7
-1.0,1.0,10,20
-0.8,0.8,1,6
-0.8,0.8,2,10
-0.8,0.8,3,4
-0.8,0.8,4,21
-0.8,0.8,5,17
-0.8,0.8,6,17
-0.8,0.8,7,6
-0.8,0.8,8,10
-0.8,0.8,9,2
-0.8,0.8,10,20
-0.6,0.6,1,3
-0.6,0.6,2,9
-0.6,0.6,3,12
-0.6,0.6,4,9
-0.6,0.6,5,13
-0.6,0.6,6,16
-0.6,0.6,7,13
-0.6,0.6,8,13
-0.6,0.6,9,11
-0.6,0.6,10,3
-0.4,0.4,1,10
-0.4,0.4,2,6
-0.4,0.4,3,10
-0.4,0.4,4,5
-0.4,0.4,5,2
-0.4,0.4,6,10
-0.4,0.4,7,8
-0.4,0.4,8,10
-0.4,0.4,9,4
-0.4,0.4,10,3
-0.2,0.2,1,4
-0.2,0.2,2,6
-0.2,0.2,3,6
-0.2,0.2,4,5
-0.2,0.2,5,5
-0.2,0.2,6,6
-0.2,0.2,7,6
-0.2,0.2,8,8
-0.2,0.2,9,5
-0.2,0.2,10,8
-0.05,0.05,1,7
-0.05,0.05,2,6
-0.05,0.05,3,6
-0.05,0.05,4,7
-0.05,0.05,5,6
-0.05,0.05,6,7
-0.05,0.05,7,6
-0.05,0.05,8,7
-0.05,0.05,9,6
-0.05,0.05,10,7
-0.0,0.0,1,7
-0.0,0.0,2,7
-0.0,0.0,3,7
-0.0,0.0,4,7
-0.0,0.0,5,7
-0.0,0.0,6,7
-0.0,0.0,7,7
-0.0,0.0,8,7
-0.0,0.0,9,7
-0.0,0.0,10,7
