Activation function,RUN,Epochs
bipolar,1,13
bipolar,2,21
bipolar,3,22
bipolar,4,19
bipolar,5,15
bipolar,6,13
bipolar,7,13
bipolar,8,17
bipolar,9,14
bipolar,10,21
bipolar,11,6
bipolar,12,14
bipolar,13,6
bipolar,14,23
bipolar,15,14
bipolar,16,19
bipolar,17,9
bipolar,18,14
bipolar,19,9
bipolar,20,16
bipolar,21,7
bipolar,22,13
bipolar,23,18
bipolar,24,12
bipolar,25,20
bipolar,26,17
bipolar,27,19
bipolar,28,19
bipolar,29,17
bipolar,30,11
bipolar,31,19
bipolar,32,13
bipolar,33,18
bipolar,34,12
bipolar,35,9
bipolar,36,14
bipolar,37,15
bipolar,38,18
bipolar,39,11
bipolar,40,9
bipolar,41,9
bipolar,42,13
bipolar,43,12
bipolar,44,10
bipolar,45,11
bipolar,46,13
bipolar,47,14
bipolar,48,18
bipolar,49,9
bipolar,50,18
bipolar,51,15
bipolar,52,12
bipolar,53,9
bipolar,54,15
bipolar,55,7
bipolar,56,21
bipolar,57,8
bipolar,58,16
bipolar,59,7
bipolar,60,16
bipolar,61,24
bipolar,62,21
bipolar,63,10
bipolar,64,10
bipolar,65,20
bipolar,66,8
bipolar,67,18
bipolar,68,14
bipolar,69,12
bipolar,70,8
bipolar,71,17
bipolar,72,22
bipolar,73,22
bipolar,74,15
bipolar,75,18
bipolar,76,14
bipolar,77,16
bipolar,78,14
bipolar,79,16
bipolar,80,6
bipolar,81,17
bipolar,82,10
bipolar,83,22
bipolar,84,18
bipolar,85,12
bipolar,86,11
bipolar,87,14
bipolar,88,11
bipolar,89,15
bipolar,90,20
bipolar,91,16
bipolar,92,16
bipolar,93,13
bipolar,94,16
bipolar,95,10
bipolar,96,21
bipolar,97,9
bipolar,98,6
bipolar,99,22
bipolar,100,8
unipolar,1,16
unipolar,2,15
unipolar,3,29
unipolar,4,23
unipolar,5,10
unipolar,6,19
unipolar,7,40
unipolar,8,34
unipolar,9,27
unipolar,10,30
unipolar,11,36
unipolar,12,28
unipolar,13,21
unipolar,14,17
unipolar,15,11
unipolar,16,26
unipolar,17,25
unipolar,18,25
unipolar,19,34
unipolar,20,22
unipolar,21,22
unipolar,22,31
unipolar,23,19
unipolar,24,37
unipolar,25,15
unipolar,26,27
unipolar,27,19
unipolar,28,18
unipolar,29,22
unipolar,30,29
unipolar,31,14
unipolar,32,17
unipolar,33,23
unipolar,34,24
unipolar,35,31
unipolar,36,32
unipolar,37,25
unipolar,38,13
unipolar,39,34
unipolar,40,24
unipolar,41,11
unipolar,42,28
unipolar,43,24
unipolar,44,20
unipolar,45,20
unipolar,46,21
unipolar,47,26
unipolar,48,38
unipolar,49,37
unipolar,50,23
unipolar,51,13
unipolar,52,21
unipolar,53,34
unipolar,54,35
unipolar,55,28
unipolar,56,10
unipolar,57,39
unipolar,58,33
unipolar,59,28
unipolar,60,25
unipolar,61,26
unipolar,62,40
unipolar,63,27
unipolar,64,31
unipolar,65,23
unipolar,66,29
unipolar,67,32
unipolar,68,30
unipolar,69,23
unipolar,70,19
unipolar,71,10
unipolar,72,13
unipolar,73,31
unipolar,74,20
unipolar,75,30
unipolar,76,16
unipolar,77,36
unipolar,78,27
unipolar,79,22
unipolar,80,11
unipolar,81,38
unipolar,82,18
unipolar,83,14
unipolar,84,16
unipolar,85,33
unipolar,86,39
unipolar,87,28
unipolar,88,39
unipolar,89,15
unipolar,90,29
unipolar,91,26
unipolar,92,23
unipolar,93,36
unipolar,94,22
unipolar,95,35
unipolar,96,26
unipolar,97,40
unipolar,98,18
unipolar,99,24
unipolar,100,25
