Algorithm,RUN,Epochs
Adaline,1,22
Adaline,2,29
Adaline,3,30
Adaline,4,27
Adaline,5,24
Adaline,6,22
Adaline,7,23
Adaline,8,26
Adaline,9,24
Adaline,10,29
Adaline,11,16
Adaline,12,23
Adaline,13,15
Adaline,14,31
Adaline,15,24
Adaline,16,28
Adaline,17,19
Adaline,18,23
Adaline,19,18
Adaline,20,26
Adaline,21,16
Adaline,22,23
Adaline,23,27
Adaline,24,22
Adaline,25,28
Adaline,26,26
Adaline,27,28
Adaline,28,27
Adaline,29,26
Adaline,30,21
Adaline,31,28
Adaline,32,22
Adaline,33,27
Adaline,34,22
Adaline,35,18
Adaline,36,24
Adaline,37,24
Adaline,38,27
Adaline,39,21
Adaline,40,19
Adaline,41,18
Adaline,42,23
Adaline,43,22
Adaline,44,20
Adaline,45,21
Adaline,46,24
Adaline,47,23
Adaline,48,26
Adaline,49,19
Adaline,50,27
Adaline,51,25
Adaline,52,21
Adaline,53,18
Adaline,54,25
Adaline,55,17
Adaline,56,29
Adaline,57,17
Adaline,58,25
Adaline,59,17
Adaline,60,25
Adaline,61,31
Adaline,62,29
Adaline,63,20
Adaline,64,20
Adaline,65,28
Adaline,66,18
Adaline,67,27
Adaline,68,23
Adaline,69,22
Adaline,70,17
Adaline,71,26
Adaline,72,30
Adaline,73,30
Adaline,74,24
Adaline,75,27
Adaline,76,24
Adaline,77,25
Adaline,78,24
Adaline,79,25
Adaline,80,15
Adaline,81,26
Adaline,82,19
Adaline,83,30
Adaline,84,27
Adaline,85,22
Adaline,86,21
Adaline,87,24
Adaline,88,21
Adaline,89,24
Adaline,90,28
Adaline,91,25
Adaline,92,25
Adaline,93,23
Adaline,94,25
Adaline,95,19
Adaline,96,29
Adaline,97,18
Adaline,98,15
Adaline,99,30
Adaline,100,18
Prosty perceptron - bipolar,1,4
Prosty perceptron - bipolar,2,4
Prosty perceptron - bipolar,3,6
Prosty perceptron - bipolar,4,5
Prosty perceptron - bipolar,5,3
Prosty perceptron - bipolar,6,4
Prosty perceptron - bipolar,7,8
Prosty perceptron - bipolar,8,7
Prosty perceptron - bipolar,9,6
Prosty perceptron - bipolar,10,6
Prosty perceptron - bipolar,11,7
Prosty perceptron - bipolar,12,6
Prosty perceptron - bipolar,13,5
Prosty perceptron - bipolar,14,4
Prosty perceptron - bipolar,15,3
Prosty perceptron - bipolar,16,6
Prosty perceptron - bipolar,17,5
Prosty perceptron - bipolar,18,5
Prosty perceptron - bipolar,19,7
Prosty perceptron - bipolar,20,5
Prosty perceptron - bipolar,21,5
Prosty perceptron - bipolar,22,6
Prosty perceptron - bipolar,23,4
Prosty perceptron - bipolar,24,7
Prosty perceptron - bipolar,25,4
Prosty perceptron - bipolar,26,6
Prosty perceptron - bipolar,27,4
Prosty perceptron - bipolar,28,4
Prosty perceptron - bipolar,29,5
Prosty perceptron - bipolar,30,6
Prosty perceptron - bipolar,31,4
Prosty perceptron - bipolar,32,4
Prosty perceptron - bipolar,33,5
Prosty perceptron - bipolar,34,5
Prosty perceptron - bipolar,35,6
Prosty perceptron - bipolar,36,7
Prosty perceptron - bipolar,37,5
Prosty perceptron - bipolar,38,3
Prosty perceptron - bipolar,39,7
Prosty perceptron - bipolar,40,5
Prosty perceptron - bipolar,41,3
Prosty perceptron - bipolar,42,6
Prosty perceptron - bipolar,43,5
Prosty perceptron - bipolar,44,5
Prosty perceptron - bipolar,45,5
Prosty perceptron - bipolar,46,5
Prosty perceptron - bipolar,47,6
Prosty perceptron - bipolar,48,8
Prosty perceptron - bipolar,49,7
Prosty perceptron - bipolar,50,5
Prosty perceptron - bipolar,51,3
Prosty perceptron - bipolar,52,5
Prosty perceptron - bipolar,53,7
Prosty perceptron - bipolar,54,7
Prosty perceptron - bipolar,55,6
Prosty perceptron - bipolar,56,3
Prosty perceptron - bipolar,57,8
Prosty perceptron - bipolar,58,7
Prosty perceptron - bipolar,59,6
Prosty perceptron - bipolar,60,5
Prosty perceptron - bipolar,61,6
Prosty perceptron - bipolar,62,8
Prosty perceptron - bipolar,63,6
Prosty perceptron - bipolar,64,6
Prosty perceptron - bipolar,65,5
Prosty perceptron - bipolar,66,6
Prosty perceptron - bipolar,67,7
Prosty perceptron - bipolar,68,6
Prosty perceptron - bipolar,69,5
Prosty perceptron - bipolar,70,4
Prosty perceptron - bipolar,71,3
Prosty perceptron - bipolar,72,3
Prosty perceptron - bipolar,73,6
Prosty perceptron - bipolar,74,5
Prosty perceptron - bipolar,75,6
Prosty perceptron - bipolar,76,4
