Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,82
-1.0,1.0,2,82
-1.0,1.0,3,82
-1.0,1.0,4,82
-1.0,1.0,5,82
-1.0,1.0,6,81
-1.0,1.0,7,81
-1.0,1.0,8,82
-1.0,1.0,9,82
-1.0,1.0,10,82
-0.8,0.8,1,82
-0.8,0.8,2,82
-0.8,0.8,3,82
-0.8,0.8,4,81
-0.8,0.8,5,82
-0.8,0.8,6,82
-0.8,0.8,7,82
-0.8,0.8,8,82
-0.8,0.8,9,83
-0.8,0.8,10,82
-0.6,0.6,1,82
-0.6,0.6,2,82
-0.6,0.6,3,82
-0.6,0.6,4,81
-0.6,0.6,5,83
-0.6,0.6,6,83
-0.6,0.6,7,82
-0.6,0.6,8,82
-0.6,0.6,9,82
-0.6,0.6,10,81
-0.4,0.4,1,82
-0.4,0.4,2,83
-0.4,0.4,3,82
-0.4,0.4,4,83
-0.4,0.4,5,82
-0.4,0.4,6,82
-0.4,0.4,7,82
-0.4,0.4,8,82
-0.4,0.4,9,82
-0.4,0.4,10,82
-0.2,0.2,1,82
-0.2,0.2,2,82
-0.2,0.2,3,82
-0.2,0.2,4,82
-0.2,0.2,5,82
-0.2,0.2,6,82
-0.2,0.2,7,82
-0.2,0.2,8,82
-0.2,0.2,9,82
-0.2,0.2,10,82
-0.05,0.05,1,82
-0.05,0.05,2,82
-0.05,0.05,3,82
-0.05,0.05,4,82
-0.05,0.05,5,82
-0.05,0.05,6,82
-0.05,0.05,7,82
-0.05,0.05,8,82
-0.05,0.05,9,82
-0.05,0.05,10,82
-0.0,0.0,1,82
-0.0,0.0,2,82
-0.0,0.0,3,82
-0.0,0.0,4,82
-0.0,0.0,5,82
-0.0,0.0,6,82
-0.0,0.0,7,82
-0.0,0.0,8,82
-0.0,0.0,9,82
-0.0,0.0,10,82
