Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,19
-1.0,1.0,2,23
-1.0,1.0,3,23
-1.0,1.0,4,15
-1.0,1.0,5,24
-1.0,1.0,6,29
-1.0,1.0,7,16
-1.0,1.0,8,14
-1.0,1.0,9,16
-1.0,1.0,10,10
-1.0,1.0,11,13
-1.0,1.0,12,5
-1.0,1.0,13,23
-1.0,1.0,14,21
-1.0,1.0,15,3
-1.0,1.0,16,20
-1.0,1.0,17,7
-1.0,1.0,18,1
-1.0,1.0,19,13
-1.0,1.0,20,21
-1.0,1.0,21,16
-1.0,1.0,22,22
-1.0,1.0,23,16
-1.0,1.0,24,16
-1.0,1.0,25,8
-1.0,1.0,26,20
-1.0,1.0,27,2
-1.0,1.0,28,9
-1.0,1.0,29,23
-1.0,1.0,30,9
-1.0,1.0,31,10
-1.0,1.0,32,8
-1.0,1.0,33,9
-1.0,1.0,34,3
-1.0,1.0,35,9
-1.0,1.0,36,16
-1.0,1.0,37,20
-1.0,1.0,38,19
-1.0,1.0,39,30
-1.0,1.0,40,27
-1.0,1.0,41,16
-1.0,1.0,42,21
-1.0,1.0,43,17
-1.0,1.0,44,7
-1.0,1.0,45,8
-1.0,1.0,46,6
-1.0,1.0,47,13
-1.0,1.0,48,5
-1.0,1.0,49,23
-1.0,1.0,50,9
-1.0,1.0,51,16
-1.0,1.0,52,17
-1.0,1.0,53,3
-1.0,1.0,54,22
-1.0,1.0,55,8
-1.0,1.0,56,33
-1.0,1.0,57,16
-1.0,1.0,58,5
-1.0,1.0,59,2
-1.0,1.0,60,13
-1.0,1.0,61,6
-1.0,1.0,62,2
-1.0,1.0,63,15
-1.0,1.0,64,4
-1.0,1.0,65,11
-1.0,1.0,66,12
-1.0,1.0,67,5
-1.0,1.0,68,10
-1.0,1.0,69,15
-1.0,1.0,70,11
-1.0,1.0,71,8
-1.0,1.0,72,13
-1.0,1.0,73,18
-1.0,1.0,74,4
-1.0,1.0,75,1
-1.0,1.0,76,2
-1.0,1.0,77,6
-1.0,1.0,78,21
-1.0,1.0,79,21
-1.0,1.0,80,26
-1.0,1.0,81,6
-1.0,1.0,82,1
-1.0,1.0,83,17
-1.0,1.0,84,15
-1.0,1.0,85,11
-1.0,1.0,86,8
-1.0,1.0,87,19
-1.0,1.0,88,16
-1.0,1.0,89,16
-1.0,1.0,90,19
-1.0,1.0,91,6
-1.0,1.0,92,20
-1.0,1.0,93,7
-1.0,1.0,94,18
-1.0,1.0,95,3
-1.0,1.0,96,19
-1.0,1.0,97,15
-1.0,1.0,98,24
-1.0,1.0,99,15
-1.0,1.0,100,5
-0.8,0.8,1,6
-0.8,0.8,2,3
-0.8,0.8,3,16
-0.8,0.8,4,1
-0.8,0.8,5,19
-0.8,0.8,6,1
-0.8,0.8,7,14
-0.8,0.8,8,8
-0.8,0.8,9,6
-0.8,0.8,10,7
-0.8,0.8,11,15
-0.8,0.8,12,4
-0.8,0.8,13,7
-0.8,0.8,14,7
-0.8,0.8,15,15
-0.8,0.8,16,19
-0.8,0.8,17,15
-0.8,0.8,18,19
-0.8,0.8,19,3
-0.8,0.8,20,14
-0.8,0.8,21,6
-0.8,0.8,22,18
-0.8,0.8,23,14
-0.8,0.8,24,6
-0.8,0.8,25,18
-0.8,0.8,26,13
-0.8,0.8,27,17
-0.8,0.8,28,3
-0.8,0.8,29,7
-0.8,0.8,30,6
-0.8,0.8,31,6
-0.8,0.8,32,19
-0.8,0.8,33,9
-0.8,0.8,34,15
-0.8,0.8,35,17
-0.8,0.8,36,17
-0.8,0.8,37,1
-0.8,0.8,38,9
-0.8,0.8,39,8
-0.8,0.8,40,2
-0.8,0.8,41,19
-0.8,0.8,42,21
-0.8,0.8,43,16
-0.8,0.8,44,19
-0.8,0.8,45,7
-0.8,0.8,46,8
-0.8,0.8,47,7
-0.8,0.8,48,7
-0.8,0.8,49,20
-0.8,0.8,50,16
-0.8,0.8,51,19
-0.8,0.8,52,20
-0.8,0.8,53,6
-0.8,0.8,54,5
-0.8,0.8,55,18
-0.8,0.8,56,14
-0.8,0.8,57,7
-0.8,0.8,58,1
-0.8,0.8,59,11
-0.8,0.8,60,16
-0.8,0.8,61,17
-0.8,0.8,62,16
-0.8,0.8,63,10
-0.8,0.8,64,17
-0.8,0.8,65,9
-0.8,0.8,66,12
-0.8,0.8,67,7
-0.8,0.8,68,23
-0.8,0.8,69,4
-0.8,0.8,70,19
-0.8,0.8,71,11
-0.8,0.8,72,3
-0.8,0.8,73,5
-0.8,0.8,74,19
-0.8,0.8,75,8
-0.8,0.8,76,7
-0.8,0.8,77,12
-0.8,0.8,78,11
-0.8,0.8,79,5
-0.8,0.8,80,16
-0.8,0.8,81,17
-0.8,0.8,82,15
-0.8,0.8,83,6
-0.8,0.8,84,14
-0.8,0.8,85,12
-0.8,0.8,86,8
-0.8,0.8,87,18
-0.8,0.8,88,4
-0.8,0.8,89,14
-0.8,0.8,90,7
-0.8,0.8,91,2
-0.8,0.8,92,7
-0.8,0.8,93,19
-0.8,0.8,94,20
-0.8,0.8,95,9
-0.8,0.8,96,20
-0.8,0.8,97,7
-0.8,0.8,98,2
-0.8,0.8,99,4
-0.8,0.8,100,20
-0.6,0.6,1,4
-0.6,0.6,2,7
-0.6,0.6,3,17
-0.6,0.6,4,9
-0.6,0.6,5,12
-0.6,0.6,6,8
-0.6,0.6,7,4
-0.6,0.6,8,13
